Part1 =======================================
Word                Occurrence
again                       [ 40 ]
ago                         [ 22 ]
alive                       [ 40 ]
always                      [ 6 42 ]
an                          [ 6 20 ]
ancient                     [ 2 ]
and                         [ 2 4 6 8 10 14 16 20 22 26 28 30 34 36 38 42 44 46 48 50 ]
any                         [ 2 ]
around                      [ 14 ]
arrived                     [ 6 ]
art                         [ 36 ]
artist                      [ 6 ]
as                          [ 8 10 20 38 40 ]
asked                       [ 18 28 ]
at                          [ 10 30 36 ]
attempt                     [ 30 ]
autumn                      [ 6 ]
away                        [ 28 30 48 ]
balance                     [ 36 ]
be                          [ 20 ]
bear                        [ 30 ]
beating                     [ 8 ]
beautiful                   [ 24 ]
beautifully                 [ 46 ]
beauty                      [ 14 44 ]
before                      [ 38 ]
began                       [ 22 36 ]
behind                      [ 14 ]
below                       [ 38 ]
between                     [ 2 36 ]
bit                         [ 16 26 ]
blue                        [ 2 ]
breath                      [ 38 ]
bushy                       [ 2 ]
but                         [ 4 ]
by                          [ 8 14 22 24 ]
called                      [ 6 ]
came                        [ 22 ]
can                         [ 12 ]
capture                     [ 4 16 22 ]
capturing                   [ 44 ]
carvings                    [ 20 ]
certainly                   [ 16 ]
chance                      [ 32 ]
chime                       [ 40 ]
chiming                     [ 8 ]
chuckled                    [ 16 ]
clock                       [ 4 16 20 22 28 30 32 34 36 38 40 ]
clockmaker                  [ 4 32 48 ]
clockmakers                 [ 26 ]
clockmaking                 [ 36 ]
clocks                      [ 6 8 14 50 ]
closer                      [ 24 ]
combination                 [ 26 ]
come                        [ 4 40 ]
commission                  [ 4 ]
continued                   [ 28 50 ]
corner                      [ 20 ]
could                       [ 20 ]
couldnt                     [ 30 ]
countless                   [ 2 ]
crafted                     [ 46 ]
craftsmanship               [ 4 26 ]
create                      [ 18 ]
created                     [ 4 ]
creating                    [ 30 32 ]
creation                    [ 26 ]
creations                   [ 6 48 ]
creativity                  [ 36 ]
creatures                   [ 20 ]
crisp                       [ 6 ]
crystalclear                [ 20 ]
curiosity                   [ 10 ]
darkest                     [ 42 ]
darkness                    [ 30 ]
days                        [ 36 ]
deemed                      [ 40 ]
deep                        [ 6 44 ]
deer                        [ 22 ]
delicate                    [ 8 20 36 ]
deserves                    [ 32 ]
designs                     [ 4 36 ]
detail                      [ 24 ]
different                   [ 36 ]
dipped                      [ 38 ]
distant                     [ 4 ]
do                          [ 18 24 ]
down                        [ 26 ]
dreams                      [ 16 ]
dull                        [ 38 ]
dusty                       [ 28 ]
each                        [ 26 36 50 ]
echoing                     [ 50 ]
else                        [ 26 ]
enchanting                  [ 48 ]
enchantment                 [ 4 ]
enduring                    [ 50 ]
entered                     [ 8 10 ]
even                        [ 16 36 42 ]
evening                     [ 38 ]
every                       [ 8 46 ]
experimented                [ 36 ]
explore                     [ 28 ]
expression                  [ 30 ]
exquisite                   [ 20 ]
exterior                    [ 38 ]
extraordinary               [ 6 ]
eyes                        [ 2 14 20 40 ]
failure                     [ 40 ]
family                      [ 22 26 ]
far                         [ 4 ]
feeling                     [ 22 44 ]
felt                        [ 32 48 ]
few                         [ 36 ]
filled                      [ 40 ]
finally                     [ 14 ]
first                       [ 30 ]
follow                      [ 20 ]
for                         [ 4 6 14 20 32 ]
forests                     [ 2 ]
forever                     [ 48 ]
forget                      [ 30 ]
forgotten                   [ 28 ]
found                       [ 32 ]
from                        [ 4 8 48 ]
fulfillment                 [ 44 ]
gears                       [ 20 38 ]
generations                 [ 26 ]
gentle                      [ 40 ]
gently                      [ 32 ]
gestured                    [ 20 ]
give                        [ 34 ]
given                       [ 42 ]
glade                       [ 22 ]
gleamed                     [ 38 ]
gracefully                  [ 40 ]
grand                       [ 8 ]
grandfather                 [ 8 ]
gratitude                   [ 48 ]
grazing                     [ 22 ]
greeted                     [ 8 ]
grew                        [ 30 ]
grief                       [ 30 ]
guidance                    [ 36 ]
had                         [ 6 8 20 40 ]
hair                        [ 2 ]
hand                        [ 36 ]
handed                      [ 46 ]
hands                       [ 40 ]
he                          [ 4 12 20 40 42 46 ]
heard                       [ 6 14 ]
heart                       [ 26 48 ]
hearts                      [ 8 ]
help                        [ 12 ]
her                         [ 6 10 14 20 36 46 48 ]
herself                     [ 6 ]
hesitated                   [ 14 ]
hidden                      [ 28 ]
hide                        [ 2 ]
high                        [ 28 ]
hills                       [ 2 ]
him                         [ 20 36 ]
his                         [ 2 4 10 42 48 ]
hold                        [ 48 ]
holding                     [ 38 ]
hope                        [ 42 50 ]
hoping                      [ 4 ]
horizon                     [ 38 ]
how                         [ 24 46 ]
humble                      [ 12 ]
if                          [ 8 ]
imagination                 [ 26 ]
imbued                      [ 4 ]
in                          [ 2 6 16 22 24 26 30 36 42 48 ]
infuse                      [ 24 ]
inspiration                 [ 6 48 ]
inspired                    [ 22 ]
inspires                    [ 18 ]
intangible                  [ 26 ]
interest                    [ 10 ]
into                        [ 26 36 ]
intricate                   [ 4 20 ]
is                          [ 42 46 ]
it                          [ 24 28 30 ]
its                         [ 34 38 48 ]
just                        [ 4 32 ]
keen                        [ 10 ]
keep                        [ 32 ]
know                        [ 42 ]
known                       [ 4 ]
lands                       [ 4 ]
leaned                      [ 24 ]
learning                    [ 36 ]
leave                       [ 46 ]
led                         [ 20 ]
lies                        [ 26 ]
life                        [ 8 24 38 40 ]
like                        [ 32 ]
lined                       [ 8 ]
looked                      [ 10 34 ]
loss                        [ 32 50 ]
lost                        [ 30 ]
love                        [ 50 ]
made                        [ 4 ]
magic                       [ 4 14 26 44 ]
magical                     [ 48 ]
makers                      [ 16 ]
man                         [ 2 ]
mantel                      [ 20 ]
many                        [ 22 ]
marking                     [ 40 ]
master                      [ 4 ]
masterpiece                 [ 4 ]
materials                   [ 36 ]
matter                      [ 46 ]
me                          [ 42 44 ]
memories                    [ 16 ]
mend                        [ 34 ]
mesmerized                  [ 24 ]
moment                      [ 14 22 46 ]
moments                     [ 16 42 ]
more                        [ 38 42 ]
morning                     [ 6 12 ]
moved                       [ 40 ]
much                        [ 14 ]
mustache                    [ 2 ]
my                          [ 12 14 26 30 ]
named                       [ 6 ]
neglected                   [ 28 36 ]
nestled                     [ 2 ]
never                       [ 30 ]
new                         [ 34 38 ]
next                        [ 36 ]
no                          [ 46 ]
not                         [ 4 ]
noticed                     [ 28 ]
now                         [ 38 ]
of                          [ 2 4 6 8 14 16 20 22 26 30 32 36 40 42 44 46 48 50 ]
old                         [ 26 28 32 34 36 38 ]
on                          [ 28 ]
once                        [ 38 40 ]
one                         [ 8 28 ]
other                       [ 2 ]
others                      [ 28 ]
our                         [ 42 46 ]
overwhelmed                 [ 14 ]
own                         [ 14 ]
owner                       [ 2 ]
pang                        [ 32 ]
part                        [ 30 ]
passage                     [ 40 ]
passed                      [ 26 30 ]
peacefully                  [ 22 ]
perhaps                     [ 14 26 ]
piece                       [ 4 ]
place                       [ 2 48 ]
pocket                      [ 8 46 ]
pointing                    [ 28 ]
possibility                 [ 42 ]
pour                        [ 26 ]
power                       [ 50 ]
precious                    [ 46 ]
precision                   [ 36 ]
prepared                    [ 46 ]
promised                    [ 48 ]
pulse                       [ 8 ]
pure                        [ 22 ]
purpose                     [ 48 ]
quaint                      [ 2 ]
quite                       [ 30 ]
rather                      [ 30 ]
read                        [ 2 ]
reclusive                   [ 2 ]
reflects                    [ 30 ]
reminded                    [ 42 ]
reminder                    [ 30 46 ]
renewal                     [ 42 ]
renewed                     [ 48 ]
repairing                   [ 36 ]
resilience                  [ 44 ]
return                      [ 48 ]
rhythmic                    [ 40 ]
right                       [ 30 34 ]
rolling                     [ 2 ]
said                        [ 12 14 32 42 46 ]
say                         [ 16 ]
searching                   [ 6 ]
seated                      [ 10 ]
second                      [ 32 ]
secrets                     [ 2 ]
see                         [ 6 14 16 ]
seemed                      [ 2 8 28 ]
seen                        [ 20 ]
sense                       [ 44 48 ]
sensing                     [ 10 ]
seventies                   [ 2 ]
shape                       [ 8 ]
she                         [ 8 14 24 28 32 48 ]
sheer                       [ 14 ]
shelf                       [ 28 ]
shop                        [ 2 8 12 20 28 36 48 ]
shown                       [ 44 ]
sign                        [ 2 ]
simple                      [ 2 ]
size                        [ 8 ]
sketched                    [ 36 ]
small                       [ 2 20 46 ]
smile                       [ 12 ]
smiled                      [ 26 44 ]
smoothly                    [ 38 ]
so                          [ 14 50 ]
soft                        [ 40 ]
softly                      [ 16 ]
somber                      [ 30 ]
someday                     [ 48 ]
something                   [ 6 16 26 ]
sorry                       [ 32 ]
soul                        [ 16 26 ]
sparkled                    [ 20 ]
special                     [ 16 48 ]
spent                       [ 36 ]
sprang                      [ 40 ]
stood                       [ 20 38 ]
story                       [ 16 34 50 ]
storytellers                [ 4 ]
studied                     [ 10 ]
such                        [ 24 ]
sun                         [ 38 ]
sunlit                      [ 22 ]
sympathy                    [ 32 ]
symphony                    [ 8 ]
tales                       [ 6 50 ]
tarnished                   [ 38 ]
tears                       [ 40 ]
tells                       [ 16 ]
than                        [ 42 ]
that                        [ 2 4 22 28 30 34 36 42 46 ]
thats                       [ 26 ]
the                         [ 2 14 16 20 22 24 26 28 30 32 36 38 40 42 44 48 50 ]
their                       [ 38 ]
them                        [ 4 6 8 14 16 18 ]
there                       [ 2 42 ]
theres                      [ 16 26 ]
they                        [ 8 ]
this                        [ 22 46 ]
thoughtful                  [ 34 ]
through                     [ 20 22 26 ]
tick                        [ 50 ]
ticking                     [ 8 40 ]
time                        [ 16 30 34 36 40 44 46 ]
timekeepers                 [ 4 ]
timeless                    [ 50 ]
to                          [ 2 4 6 8 12 14 20 22 28 30 32 34 36 40 46 48 ]
today                       [ 12 ]
together                    [ 46 ]
token                       [ 46 ]
took                        [ 22 ]
touch                       [ 4 ]
towering                    [ 8 ]
tranquility                 [ 22 ]
trembling                   [ 42 ]
tried                       [ 36 ]
true                        [ 26 ]
turned                      [ 38 ]
turning                     [ 20 ]
twinkling                   [ 2 ]
unassuming                  [ 2 ]
understand                  [ 14 36 ]
unlike                      [ 2 ]
unparalleled                [ 4 ]
up                          [ 10 ]
village                     [ 2 48 ]
voice                       [ 42 ]
waited                      [ 38 ]
walk                        [ 22 ]
walked                      [ 48 ]
walls                       [ 8 ]
wanted                      [ 14 22 ]
warm                        [ 12 ]
was                         [ 2 4 6 8 20 22 30 ]
watch                       [ 46 48 ]
watched                     [ 40 ]
watches                     [ 8 ]
watching                    [ 36 ]
way                         [ 32 ]
went                        [ 36 ]
were                        [ 8 ]
where                       [ 20 26 ]
which                       [ 20 ]
whispered                   [ 24 ]
white                       [ 2 ]
wide                        [ 4 ]
wife                        [ 30 ]
window                      [ 20 ]
wisps                       [ 2 ]
with                        [ 2 4 8 10 12 14 20 24 30 36 38 40 46 48 50 ]
within                      [ 8 ]
woman                       [ 6 ]
wonder                      [ 10 ]
wooden                      [ 2 ]
woodland                    [ 20 ]
work                        [ 36 ]
workbench                   [ 10 ]
worked                      [ 30 ]
would                       [ 4 48 ]
wound                       [ 38 ]
wounds                      [ 34 ]
yearning                    [ 6 ]
years                       [ 22 ]
you                         [ 12 16 18 24 32 42 44 46 ]
young                       [ 6 ]
your                        [ 14 32 ]
youre                       [ 34 ]
